주제,내용,길이
아이브의 개요,"2021년 12월 1일에 데뷔한 스타쉽엔터테인먼트 소속의 대한민국 6인조 다국적 걸그룹이다.[2]

그룹명인 IVE는 'I HAVE'의 축약형인 'I'VE'에서 유래되었으며, ""우리가 가진 것들을 모두 당당히 보여 드리겠다.""는 포부를 담고 있다.",138
아이브의 멤버,"안유진, 가을, 레이, 장원영, 리즈, 이서",24
아이브의 콘셉트1,"청순 콘셉트를 지나 다시금 걸 크러시 콘셉트가 트렌드로 돌아온 4세대 걸그룹답게 IVE 또한 걸 크러시 콘셉트를 기반으로 데뷔를 했으나, IVE만의 결정적인 차별점이 있다면 바로 걸크러시하면 떠오르는 파워풀한 콘셉트가 아닌 ‘소녀’라는 정체성을 유지하면서 거기에 ‘자기애’라는 이미지를 곁들인 색다른 콘셉트를 시도했다는 점이다.

걸그룹 판에서 걸 크러시로 대두되는 그룹은 흔히 말하는 센 언니라는 기믹을 전면적으로 내세우며 파워풀하고 섹시한 이미지와 콘셉트[3]를 지향한다. 그러나 IVE의 경우 일단 시대가 변하고 트렌드도 변하면서 대중들은 단순히 강렬하고 센 느낌의 콘셉트가 아닌, 보다 다양하고 색다른 모습을 원하게 된 점을 미루어 궁리하고 연구한 끝에 자신감 넘치는 아름다운 소녀 이미지를 구축해 차별화를 시도했다.",405
아이브의 콘셉트2,"사실 이 차별화는 현재 걸크러시 콘셉트로 활동하는 걸그룹 대부분에게 해당되는 말이긴 하다. 당당하고 주체적인 소녀 콘셉트의 정석에 가까운 ITZY, 콘셉트추얼함과 자체 제작으로 승부를 보는 (여자)아이들, 독자적인 세계관과 음악 스타일로 어필하는 aespa 등. 하지만 IVE는 다른 걸 크러시 콘셉트 걸그룹들이 주로 랩, 힙합에 가까운 구성을 갖춘 음악을 내세우는 것과는 달리[4] 보컬의 비중이 더 높은 음악을 내세움으로써 좀 더 대중성 있고 트렌디한 음악을 한다는 평가를 받는다. 이에 더해, IVE의 노래들은 2000년대 후반 ~ 2010년대 초중반에 전성기를 누렸던 2세대 걸그룹들의 노래와도 비슷한 느낌을 많이 주기 때문에 이로 인해 호감을 느끼는 팬들도 상당히 많다.",380
아이브의 콘셉트3,"연타석 홈런을 친 데뷔 싱글 1집 타이틀곡 <ELEVEN>과 싱글 2집 타이틀곡 <LOVE DIVE> 모두 표면적으로 보기에는 흔하게 볼 수 있는 사랑에 빠진 소녀의 심리를 노래한 곡으로 볼 수 있다. 하지만 사실 가사를 자세히 분석해 보면 상대방이 아닌 자기 자신한테 사랑에 빠진 화자의 심리를 노래한다는 상당히 독특한 내용인데, 걸 크러시를 표방한 걸그룹이 이러한 주제를 메인 콘셉트로 잡고 나오는 케이스가 잘 없기에 대중들에게 차별화된 콘셉트로 눈도장을 찍을 수 있게 되었다.",269
아이브의 콘셉트4,"결과적으로 이러한 콘셉트 구축은 매우 성공적인 성과를 냈다. 흔히 M세대 후반과 Z세대로 대표되는(1990년대 중반~2010년대 초반생) 현 1020 세대의 가장 큰 관심사이자 워너비 소재인 주체적인 자아상, 특히 10대들이라면 누구나 동경할 법한 자신을 사랑하고 스스로에게 당당한 이미지가 제대로 먹혔다. 게다가 IZ*ONE 활동을 거치며 쌓아온 안유진과 장원영의 팬덤 화력, 아이즈원 출신이 아닌 새로운 멤버를 통해 유입된 신규팬덤의 화력이 더해져 결과적으로 IVE가 빠르게, 그리고 안정적으로 자리를 잡게 해 준 원동력이 되었다.",299
아이브의 실력,"실력 면에서 가장 특출나다고 인정받은 것은 바로 표정 연기이다. 모든 멤버가 곡의 스토리와 가사에 맞는 표정을 능숙하게 사용하기 때문에 보는 사람이 무대에 잘 몰입할 수 있도록 한다. 또한 이것이 무대의 완성도를 높여서 멤버 개개인이 더욱 돋보인다. 장원영과 안유진은 예전부터 완벽한 표정 연기로 주목을 받아왔었고, 다른 멤버들 역시 신인이라고 믿어지지 않는 완벽한 표정 연기를 해낸다. 예를 들어, LOVE DIVE 활동 당시 일명 ‘나르시시스틱 파트’에서 완전히 나르시시즘에 빠진 듯한 표정 연기를 선보이며 큰 화제가 되었다.",296
아이브의 실력 - 보컬,"화려한 테크닉보다는 각 멤버의 유니크하고 매력적인 음색이 곡의 분위기를 잘 살려 준다.
공식적으로는 포지션을 세부적으로 분류하지 않지만, 메인보컬의 역할은 안유진과 리즈, 서브보컬의 역할은 가을,레이, 장원영, 이서가 맡고 있다.
주로 랩 파트는 가을,레이, 고음역대의 파트는 리즈와 안유진, 저음역대의 파트는 장원영과 이서가 맡고있다.
정규 1집 I've IVE로 컴백과 함께 한 단계 성장한 라이브 실력으로 돌아왔다. 신속한 피드백 수용과 노력하는 모습이 보기 좋다는 많은 호평을 받았다. 앵 콜 무대와 기타 축제들에서의 라이브 무대를 통해 발전하는 라이브 실력을 증명하고 있다.",326
아이브의 실력 - 댄스,전체적으로 준수한 실력을 갖추고 있으며 주로 안유진과 가을이 댄서 라인으로 언급된다.,47
아이브의 실력 - 랩,"공식적으로 가을과 레이가 래퍼 포지션을 담당하고 있다.
위의 콘셉트 문단에도 서술되어 있듯 주로 보컬 위주의 곡을 부르다 보니 <LOVE DIVE> 활동까지는 짧은 킬링파트 혹은 싱잉 랩밖에 보여 주지 못했으나, <After LIKE>에서 2세대 걸그룹들을 연상시키는 빠른 랩으로 많은 호평을 받았다.",168
